n,mask,t,x,y,z
526,60,17.533333333333335,8.966647157829739,21.18452740674505,3.5330620876604653
527,60,17.566666666666666,8.732271446686857,20.865626411417338,3.3446600831528457
528,60,17.6,8.434154608565768,20.658926765160434,3.180013427927105
529,124,17.633333333333333,8.393953911728664,20.86754526504933,3.0036917245731223
530,124,17.666666666666668,8.03929938516639,20.60930525264299,2.5551833988314896
531,124,17.7,7.840312433419535,20.31861880388552,2.1887136783664403
532,124,17.733333333333334,7.462974653041132,20.06499649020813,1.6084777266932355
533,124,17.766666666666666,7.217212806244569,19.74437089872789,1.457379682114363
534,120,17.8,7.169466431204362,19.914216622812823,1.3036925949882785
535,120,17.833333333333332,6.727189690674595,19.448645127065745,1.0326735942859238
536,124,17.866666666666667,6.5045656645767576,19.24386347566184,1.3960389096800798
537,124,17.9,6.3519825156674745,19.086364879571878,1.6864619615085992
538,124,17.933333333333334,6.214546101764428,19.13932299698913,2.193793342142956
539,124,17.966666666666665,6.11166302932461,19.027081719640037,2.5809448940223523
540,124,18.0,5.935570895558162,18.983931914033423,2.9853098078075404
541,124,18.03333333333333,5.789160083691539,18.903941857708684,3.2985815310225024
542,124,18.066666666666666,5.500025793306666,18.905560599557692,3.5764395224269987
543,124,18.1,5.277646559140299,18.914732453453592,3.784544127931609
544,124,18.133333333333333,5.0714044568906465,18.91288999355389,3.9663786518959694
545,124,18.166666666666668,4.874896584885097,18.942391821433507,4.120207599059615
546,124,18.2,4.5416673060257615,19.02659280973779,4.264396489114201
547,124,18.233333333333334,4.2279681954186525,19.10748638549079,4.389667845467763
548,124,18.266666666666666,3.903793403404348,19.21322473950579,4.4653836546741275
549,124,18.3,3.6686009318453534,19.463374453095547,4.489995220954726
550,124,18.33333333333333,3.3344330417187407,19.58405504612553,4.512209196322951
551,124,18.366666666666667,3.116123892591023,19.832381769649302,4.398302865586585
552,124,18.4,3.0983276899550414,19.86543618083172,4.265422054827614
553,116,18.433333333333334,2.957001139354039,20.167390602225648,4.287177104096929
554,112,18.466666666666665,3.3524492032649635,20.26753258181321,4.039063847121302
555,112,18.5,3.421042470335333,20.444372871550502,3.729098822465183
556,112,18.53333333333333,3.7431816947377365,20.393094175885,3.4213756993797952
557,112,18.566666666666666,4.041472748640543,20.26740145197145,2.9273516413767386
558,108,18.6,4.057623314249582,20.13057144598996,2.355007517726769
559,108,18.633333333333333,4.414637466568246,19.84070871609276,1.8553699720323593
560,124,18.666666666666668,4.793885369873324,19.492649549932413,1.1542968193746574
